Armas Kaplan Paradise. 5★ | Рейтинг 8.7 | Город вылета - Нижний Новгород | Страна - Турция
81194 — https://www.onlinetours.ru/book/16849c54fdc3bff6a2dafce3629c011a — 21 май, чт - 28 май, чт | 7 ноч | Ультра всё включено | 2 взросл

Viking Garden Hotel & Spa. 5★ | Рейтинг 9.0 | Город вылета - Нижний Новгород | Страна - Турция
82737 — https://www.onlinetours.ru/book/5972b13fae0b0e4264a626912a586930 — 21 май, чт - 28 май, чт | 7 ноч | Всё включено | 2 взросл

Side Yesiloz Hotel. 5★ | Рейтинг 8.3 | Город вылета - Нижний Новгород | Страна - Турция
83644 — https://www.onlinetours.ru/book/f4abd2cf2ccf06c3ab6b87dad05f0a5d — 21 май, чт - 28 май, чт | 7 ноч | Всё включено | 2 взросл

Armas Gul Beach. 5★ | Рейтинг 8.1 | Город вылета - Нижний Новгород | Страна - Турция
83644 — https://www.onlinetours.ru/book/a60c89c1b1d796c18c0a65f370ae0621 — 21 май, чт - 28 май, чт | 7 ноч | Ультра всё включено | 2 взросл

Armas Pemar Beach. 5★ | Рейтинг 7.8 | Город вылета - Нижний Новгород | Страна - Турция
102282 — https://www.onlinetours.ru/book/6bc4586e50f1f60db124e7e5df083ee5 — 21 май, чт - 28 май, чт | 7 ноч | Ультра всё включено | 2 взросл

Cenger Beach Resort & Spa. 5★ | Рейтинг 8.8 | Город вылета - Нижний Новгород | Страна - Турция
128157 — https://www.onlinetours.ru/book/64b1e242a88101fa951ca99db0b1f117 — 31 май, вс - 7 июн, вс | 7 ноч | Всё включено | 2 взросл

Vita Silva Hotel. 5★ | Рейтинг 8.9 | Город вылета - Нижний Новгород | Страна - Турция
141465 — https://www.onlinetours.ru/book/1a137b915554f98e1f2a22c3c41a426e — 21 май, чт - 28 май, чт | 7 ноч | Ультра всё включено | 2 взросл

Palmeras Beach Hotel. 5★ | Рейтинг 9.0 | Город вылета - Нижний Новгород | Страна - Турция
153693 — https://www.onlinetours.ru/book/7705b9f76cd18b2244c2276d6d53ee9a — 30 май, сб - 6 июн, сб | 7 ноч | Ультра всё включено | 2 взросл

Sorgun Akadia Hotel Luxury (Adult Only). 5★ | Рейтинг 8.4 | Город вылета - Нижний Новгород | Страна - Турция
157052 — https://www.onlinetours.ru/book/c069cf260d0e636642d20e853af23fa0 — 31 май, вс - 7 июн, вс | 7 ноч | Ультра всё включено | 2 взросл
