Side Yesiloz Hotel. 5★ | Рейтинг 8.3 | Город вылета - Санкт-Петербург | Страна - Турция
98029 — https://www.onlinetours.ru/book/1a807a248c4c25aab70ee89931417df3 — 25 май, пн - 1 июн, пн | 7 ноч | Всё включено | 2 взросл

Viking Garden Hotel & Spa. 5★ | Рейтинг 9.0 | Город вылета - Санкт-Петербург | Страна - Турция
119407 — https://www.onlinetours.ru/book/5b93120fe429a5d0e7cfba9cd8b1beda — 22 май, пт - 29 май, пт | 7 ноч | Всё включено | 2 взросл

Armas Kaplan Paradise. 5★ | Рейтинг 8.7 | Город вылета - Санкт-Петербург | Страна - Турция
121676 — https://www.onlinetours.ru/book/a6e95edfa5266be2f1e11c4f2090ca2f — 22 май, пт - 29 май, пт | 7 ноч | Ультра всё включено | 2 взросл

Armas Gul Beach. 5★ | Рейтинг 8.1 | Город вылета - Санкт-Петербург | Страна - Турция
122310 — https://www.onlinetours.ru/book/0a4f45d2bcb68f413fe672601da08df6 — 22 май, пт - 29 май, пт | 7 ноч | Ультра всё включено | 2 взросл

Cenger Beach Resort & Spa. 5★ | Рейтинг 8.8 | Город вылета - Санкт-Петербург | Страна - Турция
143156 — https://www.onlinetours.ru/book/47de72ecf3a585efcd949d8306203fd5 — 29 май, пт - 5 июн, пт | 7 ноч | Всё включено | 2 взросл

Cesars Side. 5★ | Рейтинг 9.1 | Город вылета - Санкт-Петербург | Страна - Турция
156829 — https://www.onlinetours.ru/book/a05fe0aa865b481e91ccd4725a47fe88 — 22 май, пт - 29 май, пт | 7 ноч | Ультра всё включено | 2 взросл
