Kemer Star Hotel. 5★ | Рейтинг 8.2 | Город вылета - Санкт-Петербург | Страна - Турция
102611 — https://www.onlinetours.ru/book/5877f897a520b7093eb4195a1daa0fc8 — 2 июл, чт - 9 июл, чт | 7 ноч | Завтрак | 2 взросл

Yaman Life Hotel. 5★ | Рейтинг 7.1 | Город вылета - Санкт-Петербург | Страна - Турция
103414 — https://www.onlinetours.ru/book/386731a5b61de1f8d6402274a99eefe7 — 2 июл, чт - 9 июл, чт | 7 ноч | Завтрак | 2 взросл

Atalla Hotel. 5★ | Рейтинг 7.1 | Город вылета - Санкт-Петербург | Страна - Турция
104123 — https://www.onlinetours.ru/book/c19a7c507ab702c50f6b3192c8551806 — 2 июл, чт - 9 июл, чт | 7 ноч | Завтрак | 2 взросл

Isinda Hotel. 5★ | Рейтинг 7.6 | Город вылета - Санкт-Петербург | Страна - Турция
104870 — https://www.onlinetours.ru/book/adda607484d61d30a59c9ae80dfcf8b3 — 2 июл, чт - 9 июл, чт | 7 ноч | Завтрак | 2 взросл

Kleopatra Aytur Apart. 5★ | Рейтинг 6.1 | Город вылета - Санкт-Петербург | Страна - Турция
107180 — https://www.onlinetours.ru/book/dde78e0d7243c30398324eb8a4c6c4aa — 2 июл, чт - 9 июл, чт | 7 ноч | 2 взросл

Hotel Gold Stone. 5★ | Рейтинг 6.0 | Город вылета - Санкт-Петербург | Страна - Турция
108631 — https://www.onlinetours.ru/book/c42d421e4ffde6cb733f6a0a59e0a63c — 2 июл, чт - 9 июл, чт | 7 ноч | Всё включено | 2 взросл

Aslan Corner Hotel. 5★ | Рейтинг 7.0 | Город вылета - Санкт-Петербург | Страна - Турция
109289 — https://www.onlinetours.ru/book/40f3dfbacd8f1173d8370e4cabc66e74 — 2 июл, чт - 9 июл, чт | 7 ноч | 2 взросл

Parus Hotel. 5★ | Рейтинг 7.0 | Город вылета - Санкт-Петербург | Страна - Турция
109506 — https://www.onlinetours.ru/book/040e0eb94b945fc9b7cae7315099a2ed — 2 июл, чт - 9 июл, чт | 7 ноч | Завтрак | 2 взросл

Barhan Hotel. 5★ | Рейтинг 6.5 | Город вылета - Санкт-Петербург | Страна - Турция
110834 — https://www.onlinetours.ru/book/d6e71289271f5b00f2360b97933a14f8 — 2 июл, чт - 9 июл, чт | 7 ноч | Всё включено | 2 взросл

Suite Laguna Hotel. 5★ | Рейтинг 8.3 | Город вылета - Санкт-Петербург | Страна - Турция
110889 — https://www.onlinetours.ru/book/1c94ef49b06a06dc42cc165214c854e2 — 2 июл, чт - 9 июл, чт | 7 ноч | 2 взросл

Kleopatra Smile Hotel. 5★ | Рейтинг 6.5 | Город вылета - Санкт-Петербург | Страна - Турция
112978 — https://www.onlinetours.ru/book/56f26efc7e2c95176fdc5c31980d2c17 — 2 июл, чт - 9 июл, чт | 7 ноч | Завтрак | 2 взросл

Sun Vera Hotel. 5★ | Рейтинг 6.2 | Город вылета - Санкт-Петербург | Страна - Турция
113792 — https://www.onlinetours.ru/book/56dd633ada6799e5dfafe11122cde995 — 2 июл, чт - 9 июл, чт | 7 ноч | Завтрак | 2 взросл

Aroma Butik Hotel. 5★ | Рейтинг 5.9 | Город вылета - Санкт-Петербург | Страна - Турция
113794 — https://www.onlinetours.ru/book/b3353d18dd8b03a3bdc843b2b640d15a — 2 июл, чт - 9 июл, чт | 7 ноч | Завтрак | 2 взросл

Kaliptus Hotel. 5★ | Рейтинг 8.7 | Город вылета - Санкт-Петербург | Страна - Турция
114553 — https://www.onlinetours.ru/book/66b46408e323f6c9b5f194dd26ac7066 — 2 июл, чт - 9 июл, чт | 7 ноч | Завтрак | 2 взросл

Miss Cleopatra Hotel. 5★ | Рейтинг 8.6 | Город вылета - Санкт-Петербург | Страна - Турция
114616 — https://www.onlinetours.ru/book/983850c4d51e84117282a57b442dc734 — 2 июл, чт - 9 июл, чт | 7 ноч | Завтрак | 2 взросл
